x
HLA-E
GIMAP7
IFITM2
IFITM1
RARRES3
CMC1
GZMH
TRGC2
CCL5
GZMA
CTSW
CD247
BIN2
CST7
GZMM
PYHIN1
AC092580.4
KLRB1
XCL2
IFNG
CD8A
CD8B
GZMK
XCL1
KLRG1
CLIC3
GZMB
CXCR3
MYL12A
CCL4
CCL4L2
GNLY
SPON2
KLRF1
FGFBP2
S1PR5
LAIR2
TRDC
PRF1
NKG7
KLRD1
CD69
BIRC3
ID2
CREM
HMGB2
HMGB1
DUSP4
BATF
TNFRSF18
CTLA4
CXCL13
IL2RA
TNFRSF4
AC133644.2
PTPRC
CYTIP
RAC2
CORO1A
LIMD2
CD7
LCK
IL2RG
EVL
APOBEC3G
LTB
IL7R
LEPROTL1
ACAP1
CXCR4
BTG1
STK17A
GPR171
PIK3IP1
RORA
FYN
TIGIT
IL32
SPOCK2
ITM2A
TRBC1
TRAC
CD3E
CD2
CD3D
TRBC2
CLEC2D
CD3G
