"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"Gpn3",4.6408581410341,4.4814351117715,4.593484862427,4.51409092093389,4.81200171435193,4.43020456384371,4.22155133768873,4.6609402060492,4.89498663778795,4.56916704243002,4.90925316328379
"Irak3",1.12500572540965,1.44132613612527,1.50301577912016,1.54939105768316,0.373176601176308,3.51871301312249,3.73848523109578,3.01293731078961,3.68687844245775,3.2466185669522,3.24097790683816
"Nipa1",1.76177065636537,2.06863492755602,1.92570685094244,1.79773802018941,1.53151362834341,3.9640893200504,3.71769675842464,3.70037595026078,2.80696680726068,3.45967312370931,3.32429066256264
"Ptbp2",3.92703212787006,4.1260971347251,4.26282134964447,3.91527844145171,3.54310160261862,4.99887423290452,4.79812174778486,4.84714562871898,4.55305843386138,4.97518280747159,4.76334078120191
"Gnpda1",6.64350025426555,6.49462237422442,6.57078385317917,6.53058774553371,6.83378812404294,5.66440306612934,6.06782444694272,5.88235320097947,5.82149399940822,6.01078388270368,6.05444595262237
"Edf1",5.94064725865221,5.63928519029477,5.72705167324594,5.71265847905576,5.84800198326264,7.01417884955199,7.03899654741216,7.08643438256786,6.43214007981598,7.11238841640753,6.99325378450815
"Mpdu1",5.07227973484704,4.91187684672614,5.01361864039646,4.82680048579187,5.01333475613959,5.2424623037898,5.6375114532559,5.66379307437233,5.0696065488762,5.48553688537953,5.58237750830715
"Txndc15",7.94337142827972,7.8547560151744,7.82635007193461,7.96626438357658,8.35470963471932,6.25957552854143,6.4739020381665,6.35865345974195,6.33039150105215,6.82250340600588,6.83129080589629
"Ninl",-0.423198225301389,0.999437417196993,1.35214911349353,-0.395865977722411,0.440815318051671,-5.81890888887002,-0.581380397334685,-1.55423587648801,-0.247723834272734,-0.188203584341097,-0.883717840611157
"Map3k15",2.48912625635776,2.57323781163085,2.68087704048623,3.04106701667565,1.50014945743407,2.61154366279552,2.41345789754954,2.42976364481827,1.33723866644842,1.83674277278913,2.26226146520612
"Gm14326",1.47093313959179,1.90019954425419,1.84728020398562,1.91373131525423,1.98859289843918,1.49397406641434,0.975837112903566,0.834034713228043,0.570829294389734,0.794922597094507,1.1295789820023
"1700037H04Rik",3.66746349761627,3.71582572845252,3.53589193536685,3.81607407919882,3.80506694946249,3.63847199020252,3.52535077762043,3.79501282439886,3.59113627771009,3.77999435556712,3.65371629002741
"Ccl17",7.09903167060785,7.4302525005998,7.55683577654286,5.9968168230603,6.71074498644055,5.42247847512892,6.28404358097845,6.31866529113948,4.68430296713964,5.89777830378598,6.06573062840769
"Thap11",4.89941022566597,4.73159994027845,4.65463512604322,5.18075907568622,5.29499374102293,4.80588656699022,4.43781316789863,4.66777763610275,4.88305730849833,4.80232918856287,4.69790121703563
"Tapbpl",6.9808989998488,6.80336320665887,6.95568784808077,6.74890072618842,7.03959235869935,9.40286701493401,9.40515243692245,9.35446579073436,8.8896399588883,9.37106233209612,9.37972525700937
"Zfp971",4.04486861816392,4.04357880903603,4.12002074924545,4.55436415823279,3.49352854154153,1.27912319409051,0.35542577617812,0.897460093369677,1.40554467983933,1.83674277278913,1.50094600962417
"Mvb12a",5.88814311447647,5.77700156146874,5.90601268905658,6.04000373567366,6.26440134162531,6.2448232313269,6.27339895540679,6.39206839710804,5.81130100291427,6.45464572273074,6.37297136040155
"Slc25a40",3.19539505330105,2.73222733539201,2.68087704048623,2.33031594073055,2.53409678935741,3.23365916193414,3.0001430194197,3.36672990433223,3.56896895236421,3.54792298971371,3.66745634665372
"Vamp1",3.70530684876094,3.813922642274,4.21677398212504,4.03111245250297,3.86784821282386,4.24583387588024,4.12380763570457,4.01114625526363,4.10405866460321,4.07028028137843,4.07047846977572
"Cfp",7.45771365905026,7.13240882395085,7.1330956841056,7.49624080130979,7.7930525315985,3.56695351177145,3.3419046365245,3.49529239434188,5.55634850379557,4.46634918856513,4.4919652200308
"Zfp931",1.44133835740349,1.86401720794755,0.87125906692006,2.09939372005051,1.61196346076342,1.52981926536106,2.09023648564065,1.01651276501344,2.03161238389016,1.58520400579317,1.63751906249961
"Dnmbp",6.09473109115913,6.1061478475311,6.07642124841891,6.0428374120885,6.09279815130036,5.0842197879423,4.65675133696718,4.72134091251816,4.86800558051536,5.0356858746319,4.84822967878842
"Fap",0.6690602825506,-0.245366251559714,0.091384881284563,-0.0197174918371621,-0.920182341514284,-0.533506670007767,0.397861042498517,0.139660995786305,0.274697200379709,-0.859580836879726,0.469919114003544
"Fgd2",10.0877898100538,10.0272635334167,10.0168973349516,10.2502330863294,10.2477891617522,8.43575069579596,8.56393313609707,8.61251796013713,8.54189872598784,9.05801225214002,9.20918608720824
"Thbs3",1.61043255257989,0.859429938451896,1.6395888319956,2.22447085310063,0.664780159206872,-1.295346932813,-0.955775912116183,-2.83434379568075,-0.301163093234195,-0.756487343915623,0.0338199991968702
"Pcbd2",2.70996822613081,2.56198867049789,2.19001291401228,2.521220384992,2.54438342859445,1.47571186002161,1.27802127249251,1.80951239409397,1.47076233928581,2.16031872055798,0.590213347721256
"Mrpl20",4.17418677522509,4.16379216059636,4.20109235989277,4.40379455254519,4.52698193725534,4.28306678207922,4.24788930115136,4.42034741998214,4.21051498145173,4.62751481065113,4.50222442799838
"Tbx2",0.41873692846636,1.55916262641913,1.13164875149829,0.316331711294853,1.10087927401355,-0.86471257848314,-3.38873531939229,-2.47177371629604,-2.3286438296563,-0.97061214926847,-3.31667724788726
"Rab3il1",4.65704109300379,4.78941387109877,4.54957866626301,4.51000106690959,5.12720891953235,-0.689625871925049,0.0706962992450075,0.834034713228043,-0.196193533632652,-5.61446833904319,1.56106700206174
"Dusp3",5.51288408302191,4.99473893091354,5.23767736155224,5.09462222253489,5.38073093731458,4.69185527904788,5.09588620770631,4.89454849794977,4.01394373579715,4.57164590049845,4.65026073139119
"Aip",5.87090228978177,5.83130294587245,5.90697964287353,5.88362112403484,6.31972032920132,6.3216013834982,6.15003561833234,6.27753706828999,6.0447232993811,6.47993929403801,6.42040105242649
"Slc37a4",4.77591848885571,4.55986965659299,4.43894357620938,4.84963615822495,4.62958345497055,3.98037273265191,3.80700597385416,3.90326571505088,3.73744536080147,4.00208050473579,3.95198170714041
"Anapc2",7.34336193515318,7.27679873328602,7.33231118561766,7.29702770536087,7.29375574394828,7.56735779790016,7.73913006865217,7.80757891820813,7.4383946401102,7.50236293685552,7.79901670430975
"Cenpb",4.38900935871751,4.74782419044302,4.75040467204567,4.49972541776471,3.73494496059546,4.34474078714581,4.50244080536226,5.16485090424761,4.56056759871739,4.36995011975794,4.90152269580747
"Huwe1",6.16657656590058,6.62904672053163,6.67038054024391,6.67776285082339,5.42454870289733,7.96091304333205,7.79154683317031,7.56516302509877,7.36121978134015,7.46418285428207,7.40630100632146
"Zfp654",5.22229028036411,5.39334240001589,5.32852718346599,5.22509472123614,4.91369989761453,6.22991852449387,5.94262953110316,5.75008188827481,5.57870909412182,5.65173257345577,5.72607651308993
"Depdc1a",2.71616005984507,2.65492160922456,2.41331297617193,2.89189551401376,2.53924927712301,-0.327055792540341,-0.156074562602015,0.335581205761562,2.43444082547379,0.689312409133908,0.770785593363076
"Cd27",0.32461475110181,0.435173909143673,-0.351133354416388,-0.33574498528484,-0.217568252138855,1.63230222296231,2.02404620594619,2.11985251470612,2.05306549355648,2.79067312409315,1.96872497097499
"Cxcl12",0.152662068312515,3.03445100679978,2.48758573855055,0.0719129836284061,1.25914135793028,0.370915670010002,0.732280081569076,1.12648560703857,-0.356658205825898,0.451620851414578,-2.83125042071702
"Nutf2",3.64167161443648,3.50878910390401,3.26130988272688,3.69880134811727,3.59845153104588,2.88499468457465,2.71978913738588,2.8621270202574,3.24471205141687,2.85720687534885,2.85724968411255
"Ide",6.58887283481964,6.56357589092178,6.63405176716887,6.79080146769209,6.64624484282988,7.42619810551119,7.31257114256633,7.39224042298803,6.91178059125218,6.44318500092074,6.53974828073827
"Epb41l3",-6.15111867986459,-0.245366251559714,-1.11297361722162,-2.04356423379153,-1.83772018132231,2.93931432585671,2.76101180011239,3.61804454595243,2.86876190820812,3.07552963237625,2.59501433398508
"Atp9a",-0.423198225301389,1.45355243845853,2.02880034390654,-0.117564815235307,2.39323425351756,0.111828448692871,1.65565879996616,1.41358371776284,2.10534277242353,1.07203218814002,1.15581052357548
"Alg1",4.59287418119559,4.54708979411855,4.40375414774708,4.55038705015688,4.66183046478148,3.45954056935047,3.84966941993279,3.53572082025088,3.83664972305436,3.76707461214139,3.8552501064662
"Fbxo40",0.814665604797499,-0.285443690935049,1.41874686222255,-0.222534374836849,-0.442860563981098,-0.264320037192378,0.397861042498517,0.191191296426387,0.510075263310637,-5.61446833904319,0.383762470253829
"Padi4",-0.865716461002339,1.41655823097633,1.28232766399596,-0.906060710041595,1.95042413676946,-3.49698079398265,-1.62320057302931,-2.47177371629604,-0.474494696119756,-2.44454333760088,-3.31667724788726
"Tmem221",2.46726682239402,2.79122138234905,2.93711161421469,2.5533709085957,3.27621487128922,2.82854953758491,2.20222592195031,2.62976431016602,2.44259166659465,3.23415460138614,3.53382216587086
