"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrps31",145,10,1.34890145465533e-05,1.60660894656258e-05,9,0.236173041185007,0.5869,0.694155116959064
"Smim19",366,16,3.40481332692311e-05,2.57057431450013e-05,38,-0.392187574683372,0.1641,0.264614112019135
"Vdac3",1160,81,0.000107912116372426,0.000130135324671569,286,0.267891903442631,0.1138,0.196382679180887
"Polb",402,55,3.73971299842374e-05,8.83634920609419e-05,60,1.21868708327932,1e-04,0.000512999365884591
"Ikbkb",1525,202,0.000141867221955129,0.000324535007205641,450,1.18813773879204,0,0
"Kat6a",236,12,2.19545340205971e-05,1.9279307358751e-05,14,-0.178770767663275,0.5932,0.699764946048411
"Gpat4",228,15,2.12103125283734e-05,2.40991341984387e-05,21,0.176407905222156,0.6251,0.726902256719851
"Gins4",352,13,3.27457456578397e-05,2.08859163053135e-05,43,-0.624702845320023,0.055,0.108736559139785
"Golga7",825,37,7.67478413855618e-05,5.94445310228155e-05,176,-0.363190808998686,0.0593,0.115738721351025
"Adam9",127,5,1.18145161890501e-05,8.0330447328129e-06,5,-0.504494752503624,0.2856,0.406491909954274
"Tm2d2",1092,27,0.000101586233688525,4.33784415571897e-05,250,-1.20890623471216,0,0
"Plekha2",705,40,6.55845190022074e-05,6.42643578625032e-05,140,-0.0288914646226972,0.8928,0.928566893715461
"Tacc1",713,26,6.6328740494431e-05,4.17718326106271e-05,127,-0.654561454324238,0.0036,0.0117152051488335
"Fgfr1",924,19,8.59575823518292e-05,3.0525569984689e-05,212,-1.46378937540351,0,0
"Whsc1l1",796,46,7.40500384762512e-05,7.39040115418787e-05,155,-0.00280982608504496,0.9893,0.992936616224262
"Ddhd2",148,7,1.37680976061371e-05,1.12462626259381e-05,6,-0.270142465567582,0.5216,0.639645899651357
"Bag4",118,2,1.09772670102985e-05,3.21321789312516e-06,7,-1.50730431532418,0.0117,0.0312283074892775
"Lsm1",525,20,4.88395354271757e-05,3.21321789312516e-05,70,-0.589057535432765,0.0175,0.0432686430317848
"Ash2l",315,15,2.93037212563054e-05,2.40991341984387e-05,46,-0.271857366720968,0.3819,0.506902543068089
"Hgsnat",169,8,1.57216790232242e-05,1.28528715725006e-05,13,-0.271534651002712,0.5171,0.636178804926258
