"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Smad1",14,40,2.31885978351788e-05,2.12175252515072e-05,4,-0.122629013706205,0.7799,0.899843364657346
"Anapc10",27,67,4.4720867253559e-05,3.55393547962746e-05,9,-0.323401610082153,0.328,0.604116825164594
"Smarca5",65,148,0.000107661347091901,7.85048434305768e-05,48,-0.450724180463941,0.0503,0.216604106073567
"Il15",36,107,5.96278230047454e-05,5.67568800477819e-05,27,-0.0699872079529399,0.8075,0.911833781965007
"Zfp330",16,43,2.65012546687757e-05,2.28088396453703e-05,5,-0.208000128404116,0.6202,0.815805278285864
"Ndufb7",144,460,0.000238511292018982,0.000244001540392333,174,0.0326971448950441,0.8012,0.907841025641026
"Tecr",42,183,6.95657935055363e-05,9.70701780256456e-05,44,0.474845484613546,0.0647,0.24996147352264
"Dnajb1",20,86,3.31265683359697e-05,4.56176792907406e-05,20,0.449981837682653,0.2749,0.55353864
"Gipc1",14,84,2.31885978351788e-05,4.45568030281652e-05,15,0.913339367154876,0.0094,0.0730240740740741
"Pkn1",21,90,3.47828967527681e-05,4.77394318158913e-05,17,0.445819249405561,0.1682,0.431741637010676
"Ddx39",40,126,6.62531366719393e-05,6.68352045422478e-05,27,0.0124326291861164,0.9651,0.987261410282463
"Adgre5",49,109,8.11600924231257e-05,5.78177563103572e-05,34,-0.482186053011599,0.1355,0.389108385624644
"Prkaca",8,45,1.32506273343879e-05,2.38697159079456e-05,5,0.803364597121433,0.0635,0.247414086687307
"Gm26532",17,13,2.81575830855742e-05,6.89569570673985e-06,5,-1.88473284176938,0.0134,0.0935583911234397
"D8Ertd738e",130,489,0.000215322694183803,0.000259384246199676,169,0.267457140185567,0.0403,0.187441105990783
"Ier2",61,214,0.000101036033424707,0.000113513760095564,47,0.166442243072399,0.7427,0.88269997643177
"Trmt1",13,43,2.15322694183803e-05,2.28088396453703e-05,7,0.0795046836105546,0.8611,0.935537505394907
"Gadd45gip1",43,150,7.12221219223348e-05,7.95657196931521e-05,36,0.157725301842895,0.5337,0.763902701165766
"Rad23a",39,161,6.45968082551408e-05,8.54005391373166e-05,48,0.397414695482315,0.1196,0.362690602409639
"Calr",234,421,0.000387580849530845,0.000223314453272114,158,-0.792692221479683,0,0
"Syce2",3,41,4.96898525039545e-06,2.17479633827949e-05,6,1.93017979316377,0.002,0.0249826302729529
"Dnase2a",21,71,3.47828967527681e-05,3.76611073214254e-05,15,0.111612776026234,0.7614,0.89210868047475
"Prdx2",131,506,0.000216979022600601,0.000268401694431567,168,0.305569622137947,0.0284,0.150966842661035
"Junb",558,1331,0.000924231256573553,0.000706013152743903,299,-0.388076950458638,0.0119,0.0859463414634146
"Hook2",9,32,1.49069557511863e-05,1.69740202012058e-05,4,0.176255367376292,0.723,0.87363946231397
"Asna1",28,108,4.63771956703575e-05,5.72873181790695e-05,23,0.298989218492536,0.2918,0.571787154534838
"2310036O22Rik",86,376,0.00014244424384467,0.000199444737364168,127,0.482714463767937,0.0033,0.0354961538461539
"Wdr83",5,35,8.28164208399241e-06,1.85653345950688e-05,4,1.07584781168535,0.0414,0.190326575342466
"Wdr83os",31,78,5.1346180920753e-05,4.13741742404391e-05,14,-0.304899030422357,0.3407,0.616493098490295
"Man2b1",35,101,5.79714945879469e-05,5.35742512600558e-05,23,-0.111797326565868,0.7431,0.88269997643177
"Vps35",75,176,0.000124224631259886,9.33571111066319e-05,58,-0.40831520944229,0.0693,0.260133730454207
