"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Tmem165",414,19,4.00636528219327e-05,2.85542530808536e-05,42,-0.474496208171388,0.0669,0.10627403516295
"Clock",188,12,1.81931563539211e-05,1.8034265103697e-05,7,-0.0119931154182526,0.9728,0.980075496328529
"Exoc1",211,14,2.04189148440285e-05,2.10399759543132e-05,13,0.0412372598831897,0.9049,0.926278543796629
"Cep135",76,2,7.35468022818089e-06,3.00571085061617e-06,6,-1.06052632581095,0.063,0.100770077720207
"Ppat",122,8,1.18061972083956e-05,1.20228434024647e-05,6,0.0242023484025007,0.9606,0.970423425143169
"Paics",901,26,8.71916695472498e-05,3.90742410580102e-05,182,-1.13796718910674,0,0
"Srp72",938,32,9.07722375530747e-05,4.80913736098587e-05,177,-0.902588248392767,0,0
"Spink2",32,0,3.09670746449722e-06,0,5,-2.03446487729779,0.1025,0.153232949959645
"Rest",419,79,4.05475133632604e-05,0.000118725578599339,67,1.52689736895499,0,0
"Noa1",171,4,1.6548030513407e-05,6.01142170123234e-06,5,-1.32353020679548,0.0044,0.00993587320938738
"Polr2b",202,6,1.95479658696387e-05,9.01713255184851e-06,9,-1.03652599262598,0.0073,0.0154530571428571
"Cenpc1",170,7,1.64512584051415e-05,1.05199879771566e-05,19,-0.599191861392247,0.1432,0.204464983619194
"Stap1",577,29,5.58375064692154e-05,4.35828073339345e-05,98,-0.350355798682446,0.1373,0.197104378996319
"Uba6",186,9,1.79996121373901e-05,1.35256988277728e-05,9,-0.387362394335933,0.2842,0.365752614208789
"Ythdc1",578,50,5.5934278577481e-05,7.51427712654043e-05,95,0.41940955718968,0.0568,0.0921259194395797
"Utp3",924,53,8.94174280373571e-05,7.96513375413285e-05,193,-0.164902420575865,0.3349,0.419417528735632
"Rufy3",133,17,1.28706903993166e-05,2.55485422302375e-05,8,0.936593047293359,0.0385,0.0656493670886076
"Grsf1",203,12,1.96447379779042e-05,1.8034265103697e-05,7,-0.11717523822542,0.7379,0.791179568803357
"Mob1b",133,13,1.28706903993166e-05,1.95371205290051e-05,8,0.566194320173199,0.1766,0.244749233071455
"Dck",254,6,2.45801154994467e-05,9.01713255184851e-06,27,-1.35255318845335,5e-04,0.00143919968919969
"Cox18",159,7,1.53867652142205e-05,1.05199879771566e-05,4,-0.508391880056262,0.1905,0.260552796750969
"Ankrd17",360,25,3.48379589755937e-05,3.75713856327021e-05,43,0.10604249792566,0.6946,0.753373063973064
"Cxcl2",219,31,2.11930917101528e-05,4.65885181845506e-05,20,1.10050286966604,0.5455,0.622552295132471
"Rchy1",749,48,7.2482309090888e-05,7.21370604147881e-05,107,-0.00679432022052728,0.9723,0.97970497756018
"G3bp2",1083,38,0.000104804193251578,5.71085061617072e-05,229,-0.864575533920169,0,0
"Uso1",340,17,3.29025168102829e-05,2.55485422302375e-05,25,-0.352759732826392,0.1849,0.254160315398887
"Naaa",12728,30,0.00123171539400377,4.50856627592426e-05,1450,-4.74137794412468,0,0
"Sdad1",432,1,4.18055507707124e-05,1.50285542530809e-06,63,-4.09615102606656,0,0
"Cxcl9",226,32,2.18704964680116e-05,4.80913736098587e-05,42,1.10198185103704,0.2594,0.338361725352113
"Cxcl10",64,20,6.19341492899443e-06,3.00571085061617e-05,7,2.11017478865167,0.1919,0.262032270549208
"Nup54",189,26,1.82899284621867e-05,3.90742410580102e-05,15,1.0548274052243,0.0079,0.0165669685819417
"Scarb2",494,42,4.78054214831758e-05,6.31199278629396e-05,63,0.393731385927299,0.0865,0.132522435897436
"Stbd1",111,10,1.07417040174747e-05,1.50285542530809e-05,5,0.449002507760053,0.3281,0.412085590778098
"Sept11",599,11,5.79664928510573e-05,1.65314096783889e-05,102,-1.74995338352899,0,0
