"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Zfc3h1",23,29,0.000110088405776291,8.51358650978182e-05,39,-0.37043991598244,0.3599,0.784541218130312
"Cnot2",7,18,3.35051669753928e-05,5.28429507503699e-05,24,0.655755532810577,0.243425,0.703501685393259
"Cct2",29,33,0.000138807120326628,9.68787430423448e-05,45,-0.51838009326159,0.1736,0.642341162372678
"Yeats4",13,15,6.22238815257296e-05,4.40357922919749e-05,26,-0.497835991001134,0.326475,0.776500545851528
"Lyz2",396,162,0.00189543516032222,0.000475586556753329,72,-1.99452205795572,0.01555,0.267074373259053
"Lyz1",2,5,9.57290485011224e-06,1.46785974306583e-05,6,0.611488243712713,0.59965,0.889504915662651
"Cpsf6",6,13,2.87187145503367e-05,3.81643533197116e-05,17,0.408995031850882,0.5741,0.879282
"Mdm2",11,15,5.26509766756173e-05,4.40357922919749e-05,21,-0.257248709213656,0.67915,0.917558688021062
"Rap1b",53,115,0.000253681978527974,0.000337607740905141,67,0.412185624355191,0.195725,0.660074918211559
"Cand1",4,14,1.91458097002245e-05,4.11000728058433e-05,17,1.09810251805837,0.135925,0.597255032119914
"Tmbim4",22,43,0.000105301953351235,0.000126235937903661,47,0.261363487084267,0.50345,0.879282
"Llph",30,31,0.000143593572751684,9.10073040700815e-05,46,-0.657356908549216,0.073725,0.49764375
"Gns",6,10,2.87187145503367e-05,2.93571948613166e-05,13,0.0316140665024839,0.970075,0.980111960623462
"Rassf3",13,30,6.22238815257296e-05,8.80715845839498e-05,32,0.500528700358511,0.305025,0.759488727272727
"Tbk1",8,11,3.8291619400449e-05,3.22929143474483e-05,16,-0.245113144593769,0.759975,0.952957731958763
"Tmem5",14,6,6.70103339507857e-05,1.761431691679e-05,18,-1.92161910154804,0.01,0.212806551724138
"Ppm1h",6,6,2.87187145503367e-05,1.761431691679e-05,9,-0.702090151342577,0.57455,0.879282
"Mon2",1,5,4.78645242505612e-06,1.46785974306583e-05,6,1.59665000574972,0.25305,0.712288888888889
"Usp15",8,12,3.8291619400449e-05,3.52286338335799e-05,20,-0.11995345496412,0.844775,0.965756810631229
"Ctdsp2",8,5,3.8291619400449e-05,1.46785974306583e-05,10,-1.37728205955297,0.188625,0.654139954980304
"Tsfm",3,3,1.43593572751684e-05,8.80715845839498e-06,6,-0.698966260342159,0.573125,0.879282
"Cdk4",10,16,4.78645242505612e-05,4.69715117781066e-05,17,-0.0271135590170266,0.9704,0.980111960623462
"Tspan31",12,5,5.74374291006735e-05,1.46785974306583e-05,15,-1.9609914033503,0.023525,0.311095503211991
"Os9",28,28,0.000134020667901571,8.22001456116865e-05,37,-0.704564684387579,0.15175,0.623586826347305
"B4galnt1",40,47,0.000191458097002245,0.000137978815848188,45,-0.472290011319743,0.21405,0.677128365878726
"Dtx3",4,4,1.91458097002245e-05,1.17428779445266e-05,8,-0.70052465506323,0.600725,0.889834546325114
"Pip4k2c",5,10,2.39322621252806e-05,2.93571948613166e-05,13,0.29364759864402,0.744675,0.943595022624434
"Dctn2",22,30,0.000105301953351235,8.80715845839498e-05,37,-0.257515911239429,0.53695,0.879282
"Mbd6",1,5,4.78645242505612e-06,1.46785974306583e-05,6,1.59665000574972,0.24445,0.703738148667602
"Ddit3",4,20,1.91458097002245e-05,5.87143897226332e-05,14,1.61162480399655,0.197925,0.66111030927835
"Mars",6,9,2.87187145503367e-05,2.64214753751849e-05,14,-0.119844951971223,0.8858,0.965756810631229
"Arhgap9",10,6,4.78645242505612e-05,1.761431691679e-05,13,-1.43705191263589,0.1051,0.551322580645161
"R3hdm2",6,6,2.87187145503367e-05,1.761431691679e-05,12,-0.702090151342577,0.436575,0.8297775
"Shmt2",3,3,1.43593572751684e-05,8.80715845839498e-06,6,-0.698966260342159,0.570675,0.879282
"Lrp1",5,5,2.39322621252806e-05,1.46785974306583e-05,10,-0.701463097481134,0.433275,0.826676470588235
"Stat6",8,25,3.8291619400449e-05,7.33929871532915e-05,25,0.936815175771026,0.09245,0.526965
"Nab2",3,10,1.43593572751684e-05,2.93571948613166e-05,7,1.02661662721245,0.46565,0.850605756676558
