"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Aprt",1085,162,0.00010360965535036,6.31430505810915e-05,297,-0.705651143119717,0,0
"Trappc2l",792,149,7.56302737672671e-05,5.80760156579175e-05,203,-0.375341932056539,7e-04,0.00143705983747845
"Cbfa2t3",2991,797,0.000285618874795323,0.000310648217982283,999,0.120784844440473,0.0806,0.11402718479552
"Ankrd11",906,228,8.6516449536798e-05,8.88679971141287e-05,268,0.0382532386850862,0.73215,0.77648321460374
"Spg7",327,63,3.12261357599701e-05,2.45556307815356e-05,50,-0.334590003660907,0.04565,0.0678040352752539
"Rpl13",60179,11656,0.0057466594003035,0.00454318146650125,1783,-0.338954123567057,0,0
"Chmp1a",671,160,6.40756486083791e-05,6.2363506746757e-05,145,-0.0384656048703329,0.7324,0.776649554820656
"Cdk10",122,19,1.16501179287962e-05,7.40566642617739e-06,8,-0.589716724034412,0.03135,0.0479744768722467
"Vps9d1",636,71,6.07334016615933e-05,2.76738061188734e-05,135,-1.10631787107226,0,0
"Zfp276",172,29,1.64247564242045e-05,1.13033855978497e-05,15,-0.502083123791499,0.03075,0.0471688592456302
"Fanca",110,3,1.05042046898982e-05,1.16931575150169e-06,8,-2.40684928771705,0,0
"Tcf25",1300,340,0.000124140600880615,0.000132522451836859,414,0.0935324154027543,0.27295,0.33430059497576
"Afg3l1",724,86,6.91367654135119e-05,3.35203848763819e-05,176,-1.02272234794787,0,0
"Gas8",94,41,8.97632037136756e-06,1.59806486038565e-05,10,0.767311865508924,0.0075,0.0129483329881963
"Ccsap",44,1,4.20168187595928e-06,3.89771917167231e-07,4,-1.90413003570357,0.00025,0.000540801764400623
"Nup133",97,18,9.26279868109206e-06,7.01589450901016e-06,8,-0.35648878219345,0.23045,0.288737849413886
"Abcb10",50,16,4.77463849540828e-06,6.2363506746757e-06,4,0.325531689286024,0.3677,0.434208909348442
"Taf5l",169,16,1.613827811448e-05,6.2363506746757e-06,10,-1.24388794094062,0,0
"Cog2",213,42,2.03399599904393e-05,1.63704205210237e-05,27,-0.296924790587354,0.15495,0.203307861189802
"2310022B05Rik",67,32,6.39801558384709e-06,1.24727013493514e-05,4,0.864828903347263,0.00675,0.0117557447252977
"Ttc13",133,31,1.2700538397786e-05,1.20829294321842e-05,17,-0.0665469741573986,0.797,0.833125106569709
"Fam89a",10,122,9.54927699081656e-07,4.75521738944022e-05,28,4.63434873580117,0,0
"2810004N23Rik",291,35,2.77883960432762e-05,1.36420171008531e-05,37,-0.975373096207828,0,0
"Gnpat",140,11,1.33689877871432e-05,4.28749108883954e-06,6,-1.44230320384363,0,0
"Exoc8",75,18,7.16195774311242e-06,7.01589450901016e-06,6,-0.026051718889091,0.93445,0.946483981290244
"Egln1",61,9,5.8250589643981e-06,3.50794725450508e-06,5,-0.598370874829446,0.1086,0.148328669724771
"Tsnax",604,53,5.7677633024532e-05,2.06579116098633e-05,122,-1.43791653978914,0,0
"Disc1",178,1,1.69977130436535e-05,3.89771917167231e-07,12,-3.69489355682757,0,0
"Ntpcr",183,34,1.74751768931943e-05,1.32522451836859e-05,21,-0.374398970011126,0.10395,0.142796366782007
"Coa6",342,64,3.26585273085926e-05,2.49454026987028e-05,48,-0.375493126406535,0.02295,0.0360192300451807
"Irf2bp2",355,40,3.38999333173988e-05,1.55908766866892e-05,55,-1.07283415744166,0,0
