"","x"
"1","mt-Nd1"
"2","mt-Nd2"
"3","mt-Co1"
"4","mt-Co2"
"5","mt-Atp8"
"6","mt-Atp6"
"7","mt-Co3"
"8","mt-Nd3"
"9","mt-Nd4l"
"10","mt-Nd4"
"11","mt-Nd5"
"12","mt-Nd6"
"13","mt-Cytb"
